"STEP","TESTING28_super_vw_0.8 - _step","TESTING28_super_vw_0.8 - _step__MIN","TESTING28_super_vw_0.8 - _step__MAX","TESTING28_super_vw_0.8 - IMMUNIZING_LAYER","TESTING28_super_vw_0.8 - IMMUNIZING_LAYER__MIN","TESTING28_super_vw_0.8 - IMMUNIZING_LAYER__MAX","TESTING28_super_vw_0.8 - Toxicity after attacks","TESTING28_super_vw_0.8 - Toxicity after attacks__MIN","TESTING28_super_vw_0.8 - Toxicity after attacks__MAX","TESTING28_super_vw_0.8 - Toxicity after succesful attacks","TESTING28_super_vw_0.8 - Toxicity after succesful attacks__MIN","TESTING28_super_vw_0.8 - Toxicity after succesful attacks__MAX","TESTING28_super_vw_0.8 - Succesfully immunized layers","TESTING28_super_vw_0.8 - Succesfully immunized layers__MIN","TESTING28_super_vw_0.8 - Succesfully immunized layers__MAX","TESTING28_super_vw_0.8 - Unsuccesfully immunized layers","TESTING28_super_vw_0.8 - Unsuccesfully immunized layers__MIN","TESTING28_super_vw_0.8 - Unsuccesfully immunized layers__MAX","TESTING30_ml_vw_0.8 - _step","TESTING30_ml_vw_0.8 - _step__MIN","TESTING30_ml_vw_0.8 - _step__MAX","TESTING30_ml_vw_0.8 - IMMUNIZING_LAYER","TESTING30_ml_vw_0.8 - IMMUNIZING_LAYER__MIN","TESTING30_ml_vw_0.8 - IMMUNIZING_LAYER__MAX","TESTING30_ml_vw_0.8 - Toxicity after attacks","TESTING30_ml_vw_0.8 - Toxicity after attacks__MIN","TESTING30_ml_vw_0.8 - Toxicity after attacks__MAX","TESTING30_ml_vw_0.8 - Toxicity after succesful attacks","TESTING30_ml_vw_0.8 - Toxicity after succesful attacks__MIN","TESTING30_ml_vw_0.8 - Toxicity after succesful attacks__MAX","TESTING30_ml_vw_0.8 - Succesfully immunized layers","TESTING30_ml_vw_0.8 - Succesfully immunized layers__MIN","TESTING30_ml_vw_0.8 - Succesfully immunized layers__MAX","TESTING30_ml_vw_0.8 - Unsuccesfully immunized layers","TESTING30_ml_vw_0.8 - Unsuccesfully immunized layers__MIN","TESTING30_ml_vw_0.8 - Unsuccesfully immunized layers__MAX","TESTING29_ml_vw_0.5 - _step","TESTING29_ml_vw_0.5 - _step__MIN","TESTING29_ml_vw_0.5 - _step__MAX","TESTING29_ml_vw_0.5 - IMMUNIZING_LAYER","TESTING29_ml_vw_0.5 - IMMUNIZING_LAYER__MIN","TESTING29_ml_vw_0.5 - IMMUNIZING_LAYER__MAX","TESTING29_ml_vw_0.5 - Toxicity after attacks","TESTING29_ml_vw_0.5 - Toxicity after attacks__MIN","TESTING29_ml_vw_0.5 - Toxicity after attacks__MAX","TESTING29_ml_vw_0.5 - Toxicity after succesful attacks","TESTING29_ml_vw_0.5 - Toxicity after succesful attacks__MIN","TESTING29_ml_vw_0.5 - Toxicity after succesful attacks__MAX","TESTING29_ml_vw_0.5 - Succesfully immunized layers","TESTING29_ml_vw_0.5 - Succesfully immunized layers__MIN","TESTING29_ml_vw_0.5 - Succesfully immunized layers__MAX","TESTING29_ml_vw_0.5 - Unsuccesfully immunized layers","TESTING29_ml_vw_0.5 - Unsuccesfully immunized layers__MIN","TESTING29_ml_vw_0.5 - Unsuccesfully immunized layers__MAX","TESTING27_super_vw_0.5 - _step","TESTING27_super_vw_0.5 - _step__MIN","TESTING27_super_vw_0.5 - _step__MAX","TESTING27_super_vw_0.5 - IMMUNIZING_LAYER","TESTING27_super_vw_0.5 - IMMUNIZING_LAYER__MIN","TESTING27_super_vw_0.5 - IMMUNIZING_LAYER__MAX","TESTING27_super_vw_0.5 - Toxicity after attacks","TESTING27_super_vw_0.5 - Toxicity after attacks__MIN","TESTING27_super_vw_0.5 - Toxicity after attacks__MAX","TESTING27_super_vw_0.5 - Toxicity after succesful attacks","TESTING27_super_vw_0.5 - Toxicity after succesful attacks__MIN","TESTING27_super_vw_0.5 - Toxicity after succesful attacks__MAX","TESTING27_super_vw_0.5 - Succesfully immunized layers","TESTING27_super_vw_0.5 - Succesfully immunized layers__MIN","TESTING27_super_vw_0.5 - Succesfully immunized layers__MAX","TESTING27_super_vw_0.5 - Unsuccesfully immunized layers","TESTING27_super_vw_0.5 - Unsuccesfully immunized layers__MIN","TESTING27_super_vw_0.5 - Unsuccesfully immunized layers__MAX","BASELINE_2 - _step","BASELINE_2 - _step__MIN","BASELINE_2 - _step__MAX","BASELINE_2 - IMMUNIZING_LAYER","BASELINE_2 - IMMUNIZING_LAYER__MIN","BASELINE_2 - IMMUNIZING_LAYER__MAX","BASELINE_2 - Toxicity after attacks","BASELINE_2 - Toxicity after attacks__MIN","BASELINE_2 - Toxicity after attacks__MAX","BASELINE_2 - Toxicity after succesful attacks","BASELINE_2 - Toxicity after succesful attacks__MIN","BASELINE_2 - Toxicity after succesful attacks__MAX","BASELINE_2 - Succesfully immunized layers","BASELINE_2 - Succesfully immunized layers__MIN","BASELINE_2 - Succesfully immunized layers__MAX","BASELINE_2 - Unsuccesfully immunized layers","BASELINE_2 - Unsuccesfully immunized layers__MIN","BASELINE_2 - Unsuccesfully immunized layers__MAX"
"1","3","3","3","0","0","0","","","","","","","","","","","","","3","3","3","0","0","0","","","","","","","","","","","","","3","3","3","0","0","0","","","","","","","","","","","","","3","3","3","0","0","0","","","","","","","","","","","","","3","3","3","0","0","0","","","","","","","","","","","",""
"2","10","9","11","","","","2.4705882352941173","2.4705882352941173","2.4705882352941173","2.4705882352941173","2.4705882352941173","2.4705882352941173","","","","","","","9","9","9","","","","3.071428571428571","3.071428571428571","3.071428571428571","","","","","","","","","","9","9","9","","","","2.7857142857142856","2.7857142857142856","2.7857142857142856","","","","","","","","","","9","9","9","","","","1.8235294117647058","1.8235294117647058","1.8235294117647058","","","","","","","","","","10","9","11","","","","2.214285714285714","2.214285714285714","2.214285714285714","2.214285714285714","2.214285714285714","2.214285714285714","","","","","",""
"3","18","18","18","","","","2.411764705882353","2.411764705882353","2.411764705882353","","","","","","","","","","16","16","16","","","","1.9285714285714286","1.9285714285714286","1.9285714285714286","","","","","","","","","","17","16","18","","","","2.928571428571428","2.928571428571428","2.928571428571428","2.928571428571428","2.928571428571428","2.928571428571428","","","","","","","17","16","18","","","","2.4705882352941173","2.4705882352941173","2.4705882352941173","2.4705882352941173","2.4705882352941173","2.4705882352941173","","","","","","","18","18","18","","","","1.0714285714285714","1.0714285714285714","1.0714285714285714","","","","","","","","",""
"4","26","25","27","","","","2.235294117647059","2.235294117647059","2.235294117647059","2.235294117647059","2.235294117647059","2.235294117647059","","","","","","","24","23","25","","","","2.928571428571428","2.928571428571428","2.928571428571428","2.928571428571428","2.928571428571428","2.928571428571428","","","","","","","26","25","27","","","","2.7857142857142856","2.7857142857142856","2.7857142857142856","2.7857142857142856","2.7857142857142856","2.7857142857142856","","","","","","","25","25","25","","","","1.764705882352941","1.764705882352941","1.764705882352941","","","","","","","","","","26","25","27","","","","2.928571428571428","2.928571428571428","2.928571428571428","2.928571428571428","2.928571428571428","2.928571428571428","","","","","",""
"5","35","34","36","","","","2.2941176470588234","2.2941176470588234","2.2941176470588234","","","","","","","0","0","0","33","32","34","","","","2.928571428571428","2.928571428571428","2.928571428571428","","","","","","","0","0","0","36","34","38","","","","2.714285714285714","2.714285714285714","2.714285714285714","2.714285714285714","2.714285714285714","2.714285714285714","","","","0","0","0","34","32","36","","","","2.4705882352941173","2.4705882352941173","2.4705882352941173","2.4705882352941173","2.4705882352941173","2.4705882352941173","","","","0","0","0","36","34","38","","","","2.7857142857142856","2.7857142857142856","2.7857142857142856","2.7857142857142856","2.7857142857142856","2.7857142857142856","","","","0","0","0"
"6","37","37","37","1","1","1","","","","","","","","","","","","","35","35","35","1","1","1","","","","","","","","","","","","","39","39","39","1","1","1","","","","","","","","","","","","","37","37","37","1","1","1","","","","","","","","","","","","","39","39","39","1","1","1","","","","","","","","","","","",""
"7","43","43","43","","","","2.7647058823529407","2.7647058823529407","2.7647058823529407","","","","","","","","","","41","41","41","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","","","45","45","45","","","","3.428571428571428","3.428571428571428","3.428571428571428","","","","","","","","","","43","43","43","","","","2.7647058823529407","2.7647058823529407","2.7647058823529407","","","","","","","","","","45","45","45","","","","3.428571428571428","3.428571428571428","3.428571428571428","","","","","","","","",""
"8","50","50","50","","","","2.6470588235294117","2.6470588235294117","2.6470588235294117","","","","","","","","","","48","48","48","","","","3.2857142857142856","3.2857142857142856","3.2857142857142856","","","","","","","","","","52","52","52","","","","3.2857142857142856","3.2857142857142856","3.2857142857142856","","","","","","","","","","50","50","50","","","","2.4705882352941173","2.4705882352941173","2.4705882352941173","","","","","","","","","","52","52","52","","","","3.2857142857142856","3.2857142857142856","3.2857142857142856","","","","","","","","",""
"9","57","57","57","","","","2.2941176470588234","2.2941176470588234","2.2941176470588234","","","","","","","","","","55","55","55","","","","3.142857142857143","3.142857142857143","3.142857142857143","","","","","","","","","","59","59","59","","","","3.142857142857143","3.142857142857143","3.142857142857143","","","","","","","","","","57","57","57","","","","2.5294117647058822","2.5294117647058822","2.5294117647058822","","","","","","","","","","59","59","59","","","","3.142857142857143","3.142857142857143","3.142857142857143","","","","","","","","",""
"10","65","64","66","","","","2.2941176470588234","2.2941176470588234","2.2941176470588234","","","","1","1","1","","","","63","62","64","","","","3.142857142857143","3.142857142857143","3.142857142857143","","","","1","1","1","","","","67","66","68","","","","3.142857142857143","3.142857142857143","3.142857142857143","","","","1","1","1","","","","65","64","66","","","","2.5294117647058822","2.5294117647058822","2.5294117647058822","","","","1","1","1","","","","67","66","68","","","","3.142857142857143","3.142857142857143","3.142857142857143","","","","1","1","1","","",""
"11","67","67","67","2","2","2","","","","","","","","","","","","","65","65","65","2","2","2","","","","","","","","","","","","","69","69","69","2","2","2","","","","","","","","","","","","","67","67","67","2","2","2","","","","","","","","","","","","","69","69","69","2","2","2","","","","","","","","","","","",""
